year,round,name,race_points,running_constructor_points
2016,1,Mercedes,43,43
2016,1,Ferrari,15,15
2016,1,Williams,14,14
2016,1,Red Bull,12,12
2016,1,Haas F1 Team,8,8
2016,1,Force India,6,6
2016,1,Toro Rosso,3,3
2016,1,McLaren,0,0
2016,1,Renault,0,0
2016,1,Sauber,0,0
2016,1,Manor Marussia,0,0
2016,2,Mercedes,83,126
2016,2,Ferrari,33,48
2016,2,Red Bull,30,42
2016,2,Williams,20,34
2016,2,Haas F1 Team,18,26
2016,2,Toro Rosso,11,14
2016,2,Force India,6,12
2016,2,McLaren,1,1
2016,2,Renault,0,0
2016,2,Sauber,0,0
2016,2,Manor Marussia,0,0
2016,3,Mercedes,114,240
2016,3,Ferrari,61,109
2016,3,Red Bull,57,99
2016,3,Williams,29,63
2016,3,Haas F1 Team,18,44
2016,3,Toro Rosso,17,31
2016,3,Force India,6,18
2016,3,McLaren,1,2
2016,3,Renault,0,0
2016,3,Sauber,0,0
2016,3,Manor Marussia,0,0
2016,4,Mercedes,157,397
2016,4,Ferrari,76,185
2016,4,Red Bull,57,156
2016,4,Williams,51,114
2016,4,Haas F1 Team,22,66
2016,4,Toro Rosso,17,48
2016,4,Force India,8,26
2016,4,McLaren,10,12
2016,4,Renault,6,6
2016,4,Sauber,0,0
2016,4,Manor Marussia,0,0
2016,5,Mercedes,157,554
2016,5,Ferrari,109,294
2016,5,Red Bull,94,250
2016,5,Williams,65,179
2016,5,Haas F1 Team,22,88
2016,5,Toro Rosso,26,74
2016,5,Force India,14,40
2016,5,McLaren,12,24
2016,5,Renault,6,12
2016,5,Sauber,0,0
2016,5,Manor Marussia,0,0
2016,6,Mercedes,188,742
2016,6,Ferrari,121,415
2016,6,Red Bull,112,362
2016,6,Williams,66,245
2016,6,Haas F1 Team,22,110
2016,6,Toro Rosso,30,104
2016,6,Force India,37,77
2016,6,McLaren,24,48
2016,6,Renault,6,18
2016,6,Sauber,0,0
2016,6,Manor Marussia,0,0
2016,7,Mercedes,223,965
2016,7,Ferrari,147,562
2016,7,Red Bull,130,492
2016,7,Williams,81,326
2016,7,Toro Rosso,32,136
2016,7,Haas F1 Team,22,132
2016,7,Force India,42,119
2016,7,McLaren,24,72
2016,7,Renault,6,24
2016,7,Sauber,0,0
2016,7,Manor Marussia,0,0
2016,8,Mercedes,258,1223
2016,8,Ferrari,177,739
2016,8,Red Bull,140,632
2016,8,Williams,90,416
2016,8,Force India,59,178
2016,8,Toro Rosso,32,168
2016,8,Haas F1 Team,22,154
2016,8,McLaren,24,96
2016,8,Renault,6,30
2016,8,Sauber,0,0
2016,8,Manor Marussia,0,0
2016,9,Mercedes,295,1518
2016,9,Ferrari,192,931
2016,9,Red Bull,168,800
2016,9,Williams,92,508
2016,9,Force India,59,237
2016,9,Toro Rosso,36,204
2016,9,Haas F1 Team,28,182
2016,9,McLaren,32,128
2016,9,Renault,6,36
2016,9,Manor Marussia,1,1
2016,9,Sauber,0,0
2016,10,Mercedes,335,1853
2016,10,Ferrari,204,1135
2016,10,Red Bull,198,998
2016,10,Williams,92,600
2016,10,Force India,73,310
2016,10,Toro Rosso,41,245
2016,10,Haas F1 Team,28,210
2016,10,McLaren,32,160
2016,10,Renault,6,42
2016,10,Manor Marussia,1,2
2016,10,Sauber,0,0
2016,11,Mercedes,378,2231
2016,11,Ferrari,224,1359
2016,11,Red Bull,223,1221
2016,11,Williams,94,694
2016,11,Force India,74,384
2016,11,Toro Rosso,45,290
2016,11,Haas F1 Team,28,238
2016,11,McLaren,38,198
2016,11,Renault,6,48
2016,11,Manor Marussia,1,3
2016,11,Sauber,0,0
2016,12,Mercedes,415,2646
2016,12,Ferrari,242,1601
2016,12,Red Bull,256,1477
2016,12,Williams,96,790
2016,12,Force India,81,465
2016,12,Toro Rosso,45,335
2016,12,Haas F1 Team,28,266
2016,12,McLaren,42,240
2016,12,Renault,6,54
2016,12,Manor Marussia,1,4
2016,12,Sauber,0,0
2016,13,Mercedes,455,3101
2016,13,Ferrari,252,1853
2016,13,Red Bull,274,1751
2016,13,Williams,101,891
2016,13,Force India,103,568
2016,13,Toro Rosso,45,380
2016,13,Haas F1 Team,28,294
2016,13,McLaren,48,288
2016,13,Renault,6,60
2016,13,Manor Marussia,1,5
2016,13,Sauber,0,0
2016,14,Mercedes,498,3599
2016,14,Ferrari,279,2132
2016,14,Red Bull,290,2041
2016,14,Williams,111,1002
2016,14,Force India,108,676
2016,14,Toro Rosso,45,425
2016,14,McLaren,48,336
2016,14,Haas F1 Team,28,322
2016,14,Renault,6,66
2016,14,Manor Marussia,1,6
2016,14,Sauber,0,0
2016,15,Mercedes,538,4137
2016,15,Ferrari,301,2433
2016,15,Red Bull,316,2357
2016,15,Williams,111,1113
2016,15,Force India,112,788
2016,15,Toro Rosso,47,472
2016,15,McLaren,54,390
2016,15,Haas F1 Team,28,350
2016,15,Renault,7,73
2016,15,Manor Marussia,1,7
2016,15,Sauber,0,0
2016,16,Mercedes,553,4690
2016,16,Ferrari,313,2746
2016,16,Red Bull,359,2716
2016,16,Williams,121,1234
2016,16,Force India,124,912
2016,16,Toro Rosso,47,519
2016,16,McLaren,62,452
2016,16,Haas F1 Team,28,378
2016,16,Renault,8,81
2016,16,Manor Marussia,1,8
2016,16,Sauber,0,0
2016,17,Mercedes,593,5283
2016,17,Red Bull,385,3101
2016,17,Ferrari,335,3081
2016,17,Williams,124,1358
2016,17,Force India,134,1046
2016,17,Toro Rosso,47,566
2016,17,McLaren,62,514
2016,17,Haas F1 Team,28,406
2016,17,Renault,8,89
2016,17,Manor Marussia,1,9
2016,17,Sauber,0,0
2016,18,Mercedes,636,5919
2016,18,Red Bull,400,3501
2016,18,Ferrari,347,3428
2016,18,Williams,130,1488
2016,18,Force India,138,1184
2016,18,Toro Rosso,55,621
2016,18,McLaren,74,588
2016,18,Haas F1 Team,29,435
2016,18,Renault,8,97
2016,18,Manor Marussia,1,10
2016,18,Sauber,0,0
2016,19,Mercedes,679,6598
2016,19,Red Bull,427,3928
2016,19,Ferrari,365,3793
2016,19,Williams,136,1624
2016,19,Force India,145,1329
2016,19,Toro Rosso,55,676
2016,19,McLaren,74,662
2016,19,Haas F1 Team,29,464
2016,19,Renault,8,105
2016,19,Manor Marussia,1,11
2016,19,Sauber,0,0
2016,20,Mercedes,722,7320
2016,20,Red Bull,446,4374
2016,20,Ferrari,375,4168
2016,20,Williams,136,1760
2016,20,Force India,163,1492
2016,20,Toro Rosso,63,739
2016,20,McLaren,75,737
2016,20,Haas F1 Team,29,493
2016,20,Renault,8,113
2016,20,Manor Marussia,1,12
2016,20,Sauber,2,2
2016,21,Mercedes,765,8085
2016,21,Red Bull,468,4842
2016,21,Ferrari,398,4566
2016,21,Williams,138,1898
2016,21,Force India,173,1665
2016,21,McLaren,76,813
2016,21,Toro Rosso,63,802
2016,21,Haas F1 Team,29,522
2016,21,Renault,8,121
2016,21,Manor Marussia,1,13
2016,21,Sauber,2,4
