year,race_name,driverRef,lap,milliseconds,rolling_avg_ms
2016,Monaco Grand Prix,alonso,1,155781,155781.0
2016,Monaco Grand Prix,alonso,2,133519,144650.0
2016,Monaco Grand Prix,alonso,3,128107,139135.666666667
2016,Monaco Grand Prix,alonso,4,128432,130019.333333333
2016,Monaco Grand Prix,alonso,5,129161,128566.666666667
2016,Monaco Grand Prix,alonso,6,129335,128976.0
2016,Monaco Grand Prix,alonso,7,126434,128310.0
2016,Monaco Grand Prix,alonso,8,114138,123302.333333333
2016,Monaco Grand Prix,alonso,9,117520,119364.0
2016,Monaco Grand Prix,alonso,10,106046,112568.0
2016,Monaco Grand Prix,alonso,11,100353,107973.0
2016,Monaco Grand Prix,alonso,12,99583,101994.0
2016,Monaco Grand Prix,alonso,13,99448,99794.6666666667
2016,Monaco Grand Prix,alonso,14,115471,104834.0
2016,Monaco Grand Prix,alonso,15,98863,104594.0
2016,Monaco Grand Prix,alonso,16,96349,103561.0
2016,Monaco Grand Prix,alonso,17,97343,97518.3333333333
2016,Monaco Grand Prix,alonso,18,98582,97424.6666666667
2016,Monaco Grand Prix,alonso,19,97085,97670.0
2016,Monaco Grand Prix,alonso,20,97413,97693.3333333333
2016,Monaco Grand Prix,alonso,21,96457,96985.0
2016,Monaco Grand Prix,alonso,22,96236,96702.0
2016,Monaco Grand Prix,alonso,23,93874,95522.3333333333
2016,Monaco Grand Prix,alonso,24,93725,94611.6666666667
2016,Monaco Grand Prix,alonso,25,91997,93198.6666666667
2016,Monaco Grand Prix,alonso,26,91511,92411.0
2016,Monaco Grand Prix,alonso,27,90389,91299.0
2016,Monaco Grand Prix,alonso,28,90795,90898.3333333333
2016,Monaco Grand Prix,alonso,29,91306,90830.0
2016,Monaco Grand Prix,alonso,30,91756,91285.6666666667
2016,Monaco Grand Prix,alonso,31,91922,91661.3333333333
2016,Monaco Grand Prix,alonso,32,107748,97142.0
2016,Monaco Grand Prix,alonso,33,95294,98321.3333333333
2016,Monaco Grand Prix,alonso,34,87313,96785.0
2016,Monaco Grand Prix,alonso,35,102965,95190.6666666667
2016,Monaco Grand Prix,alonso,36,112615,100964.333333333
2016,Monaco Grand Prix,alonso,37,85870,100483.333333333
2016,Monaco Grand Prix,alonso,38,85741,94742.0
2016,Monaco Grand Prix,alonso,39,85085,85565.3333333333
2016,Monaco Grand Prix,alonso,40,84059,84961.6666666667
2016,Monaco Grand Prix,alonso,41,84153,84432.3333333333
2016,Monaco Grand Prix,alonso,42,84035,84082.3333333333
2016,Monaco Grand Prix,alonso,43,83149,83779.0
2016,Monaco Grand Prix,alonso,44,82308,83164.0
2016,Monaco Grand Prix,alonso,45,82079,82512.0
2016,Monaco Grand Prix,alonso,46,81949,82112.0
2016,Monaco Grand Prix,alonso,47,82265,82097.6666666667
2016,Monaco Grand Prix,alonso,48,82810,82341.3333333333
2016,Monaco Grand Prix,alonso,49,81139,82071.3333333333
2016,Monaco Grand Prix,alonso,50,98758,87569.0
2016,Monaco Grand Prix,alonso,51,86972,88956.3333333333
2016,Monaco Grand Prix,alonso,52,80570,88766.6666666667
2016,Monaco Grand Prix,alonso,53,80939,82827.0
2016,Monaco Grand Prix,alonso,54,80395,80634.6666666667
2016,Monaco Grand Prix,alonso,55,80398,80577.3333333333
2016,Monaco Grand Prix,alonso,56,80496,80429.6666666667
2016,Monaco Grand Prix,alonso,57,80231,80375.0
2016,Monaco Grand Prix,alonso,58,82818,81181.6666666667
2016,Monaco Grand Prix,alonso,59,80371,81140.0
2016,Monaco Grand Prix,alonso,60,79939,81042.6666666667
2016,Monaco Grand Prix,alonso,61,80199,80169.6666666667
2016,Monaco Grand Prix,alonso,62,79651,79929.6666666667
2016,Monaco Grand Prix,alonso,63,79806,79885.3333333333
2016,Monaco Grand Prix,alonso,64,80187,79881.3333333333
2016,Monaco Grand Prix,alonso,65,80023,80005.3333333333
2016,Monaco Grand Prix,alonso,66,79992,80067.3333333333
2016,Monaco Grand Prix,alonso,67,84636,81550.3333333333
2016,Monaco Grand Prix,alonso,68,89537,84721.6666666667
2016,Monaco Grand Prix,alonso,69,79563,84578.6666666667
2016,Monaco Grand Prix,alonso,70,79201,82767.0
2016,Monaco Grand Prix,alonso,71,79267,79343.6666666667
2016,Monaco Grand Prix,alonso,72,79170,79212.6666666667
2016,Monaco Grand Prix,alonso,73,79489,79308.6666666667
2016,Monaco Grand Prix,alonso,74,79594,79417.6666666667
2016,Monaco Grand Prix,alonso,75,79718,79600.3333333333
2016,Monaco Grand Prix,alonso,76,79991,79767.6666666667
2016,Monaco Grand Prix,alonso,77,81031,80246.6666666667
2016,Monaco Grand Prix,alonso,78,91759,84260.3333333333
2016,Monaco Grand Prix,bottas,1,160411,160411.0
2016,Monaco Grand Prix,bottas,2,130356,145383.5
2016,Monaco Grand Prix,bottas,3,127629,139465.333333333
2016,Monaco Grand Prix,bottas,4,128668,128884.333333333
2016,Monaco Grand Prix,bottas,5,128603,128300.0
2016,Monaco Grand Prix,bottas,6,130312,129194.333333333
2016,Monaco Grand Prix,bottas,7,125546,128153.666666667
2016,Monaco Grand Prix,bottas,8,115536,123798.0
2016,Monaco Grand Prix,bottas,9,116351,119144.333333333
2016,Monaco Grand Prix,bottas,10,106774,112887.0
2016,Monaco Grand Prix,bottas,11,101286,108137.0
2016,Monaco Grand Prix,bottas,12,100721,102927.0
2016,Monaco Grand Prix,bottas,13,99945,100650.666666667
2016,Monaco Grand Prix,bottas,14,99290,99985.3333333333
2016,Monaco Grand Prix,bottas,15,117941,105725.333333333
2016,Monaco Grand Prix,bottas,16,102125,106452.0
2016,Monaco Grand Prix,bottas,17,100112,106726.0
2016,Monaco Grand Prix,bottas,18,98958,100398.333333333
2016,Monaco Grand Prix,bottas,19,100674,99914.6666666667
2016,Monaco Grand Prix,bottas,20,99418,99683.3333333333
2016,Monaco Grand Prix,bottas,21,99057,99716.3333333333
2016,Monaco Grand Prix,bottas,22,97417,98630.6666666667
2016,Monaco Grand Prix,bottas,23,97665,98046.3333333333
2016,Monaco Grand Prix,bottas,24,96776,97286.0
2016,Monaco Grand Prix,bottas,25,96130,96857.0
2016,Monaco Grand Prix,bottas,26,94698,95868.0
2016,Monaco Grand Prix,bottas,27,94838,95222.0
2016,Monaco Grand Prix,bottas,28,94145,94560.3333333333
2016,Monaco Grand Prix,bottas,29,93895,94292.6666666667
2016,Monaco Grand Prix,bottas,30,111223,99754.3333333333
2016,Monaco Grand Prix,bottas,31,98771,101296.333333333
2016,Monaco Grand Prix,bottas,32,94780,101591.333333333
2016,Monaco Grand Prix,bottas,33,90438,94663.0
2016,Monaco Grand Prix,bottas,34,94749,93322.3333333333
2016,Monaco Grand Prix,bottas,35,117245,100810.666666667
2016,Monaco Grand Prix,bottas,36,92310,101434.666666667
2016,Monaco Grand Prix,bottas,37,86622,98725.6666666667
